d,theta,coh_shots,pauli_shots,coherent_LER,coherent_SE,pauli_LER,pauli_SE,ratio,ratio_SE
3,0.05,8000,120000,0.00032796231616220406,2.7156042923232896e-05,0.00016666666666666666,3.7264693845614875e-05,1.9677738969732244,0.4691723155911456
3,0.06,8000,120000,0.0005627997515145706,4.104486698230396e-05,0.0003333333333333333,5.2695842832730667e-05,1.6883992545437119,0.29394842277502764
3,0.07,8000,120000,0.0011619179808537276,7.265867423091273e-05,0.0005166666666666667,6.559977910418997e-05,2.248873511329795,0.31828611345919733
3,0.08,8000,120000,0.0021709484798858327,0.0001253014247214213,0.000675,7.497468322707339e-05,3.2162199702012333,0.4025885261632212
3,0.09,8000,120000,0.0029379308950447927,0.0001429052488630604,0.0010166666666666666,9.199787386834706e-05,2.8897680934866816,0.2968789103487812
3,0.1,8000,120000,0.004536268939838327,0.00018793289904445661,0.0016583333333333333,0.00011745861909231725,2.7354385566864288,0.22445854259751996
3,0.11,8000,120000,0.006357809076529584,0.00024289485034134962,0.0024416666666666666,0.0001424694391368302,2.6038808504558024,0.18160449478321822
3,0.12,8000,120000,0.008843376727483221,0.0003286341456360651,0.0033916666666666665,0.0001678333316092905,2.607383801714955,0.16135586934658747
3,0.13,8000,120000,0.012561750858125723,0.00041604192749784916,0.004683333333333334,0.00019709134350646957,2.6822243825179477,0.1436416505136936
3,0.14,8000,120000,0.015960444873471927,0.0005027127096888272,0.006208333333333333,0.0002267485746106532,2.5708099125055455,0.12398756660866084
3,0.15,8000,120000,0.021330715800212247,0.0006226051787209256,0.008733333333333333,0.00026859297307484645,2.442448374070105,0.103561426978445
3,0.16,8000,120000,0.027245719457663447,0.000714794230806395,0.009983333333333334,0.0002869910914542019,2.7291204798995103,0.10621405186583105
3,0.17,8000,120000,0.033957813688111106,0.0008366548428773736,0.013416666666666667,0.0003321227147985894,2.5310171693002066,0.08839806947844453
3,0.18,8000,120000,0.04126769664066921,0.0009639963291486109,0.016175,0.00036415849771539495,2.5513259128698125,0.0827721574047538
3,0.19,8000,120000,0.04887552062042991,0.0010937098330970204,0.019608333333333332,0.00040024832497278297,2.4925892369110025,0.07549733907231101
3,0.2,8000,120000,0.058443890763137774,0.001218829361252375,0.023208333333333334,0.0004346426367068911,2.518228686382956,0.07058461983108066
3,0.21,8000,120000,0.06610932329425373,0.0013236335390967647,0.027683333333333334,0.00047361171146915353,2.3880550256804476,0.06289096902666318
3,0.22,8000,120000,0.08027671276977064,0.001509133709455596,0.03358333333333333,0.0005200600370434453,2.390373581233865,0.058219880528837406
3,0.23,8000,120000,0.09539427947015594,0.0017135034551784022,0.03909166666666666,0.0005594901567788368,2.4402714850604803,0.0560458752422805
3,0.24,8000,120000,0.10871091526830466,0.0018407091973103376,0.04405833333333333,0.000592432813330073,2.46743140385787,0.05335060587110654
3,0.25,8000,120000,0.1200292309519675,0.0019399534257688298,0.050866666666666664,0.0006342925776596114,2.35968343942269,0.048169627185954605
3,0.26,8000,120000,0.13371978519774927,0.002073698098319824,0.05695833333333333,0.0006690421112631989,2.3476772821843324,0.04567206517655195
3,0.27,8000,120000,0.14707527809931167,0.0021408627644583086,0.06473333333333334,0.0007102988155751124,2.2720176843354016,0.04141583496137764
3,0.28,8000,120000,0.1658705942207193,0.002298205744379157,0.0753,0.0007617409336513301,2.202796735998928,0.03778984952540432
3,0.29,8000,120000,0.18252289932681032,0.002415825910122747,0.08379166666666667,0.0007998469815319306,2.178294173964917,0.03554723334806717
3,0.3,8000,120000,0.2052011468731365,0.0026047069812042594,0.0919,0.0008339383970054383,2.232874285888319,0.03484057991837618
3,0.31,8000,120000,0.2157397774894914,0.0026020713347033693,0.10096666666666666,0.0008697336703884744,2.136742596462444,0.03166949999288736
3,0.32,8000,120000,0.23695786808368155,0.0027470417386918594,0.111175,0.0009074465979466781,2.131395260478359,0.030219258152352654
3,0.33,8000,120000,0.2561170637173181,0.0028029501856776267,0.12330833333333334,0.0009491372760911567,2.07704586376145,0.027790493320214514
3,0.34,8000,120000,0.2668152793341943,0.002838082661827931,0.13333333333333333,0.0009813067629253164,2.0011145950064573,0.025884084816413928
3,0.35,8000,120000,0.28992454753407376,0.0029484869714640465,0.145,0.0010164275675128061,1.999479638166026,0.024696902524600984
3,0.36,8000,120000,0.31201815927176735,0.0030632824756420514,0.15715833333333334,0.0010506331091189025,1.9853745751424825,0.02358152294002374
3,0.37,8000,120000,0.3247495656580678,0.0030315491017206186,0.16658333333333333,0.0010756134931164047,1.9494721300134135,0.02212754682447461
3,0.38,8000,120000,0.34456892362328345,0.0030712614225349493,0.180475,0.0011101943312434091,1.9092335427249396,0.020676992114519965
3,0.39,8000,120000,0.36063781853949617,0.00310280277718327,0.19095,0.0011346368637145544,1.8886505291411162,0.01974800300678764
3,0.4,8000,120000,0.3731896480029558,0.0031291854222870084,0.2061,0.001167699982872313,1.8107212421298193,0.01832391735648075
3,0.41,8000,120000,0.3900880282457672,0.0031347018251903693,0.21819166666666667,0.0011922809486578268,1.787822762460072,0.017373627580226002
3,0.42,8000,120000,0.40498416279369526,0.0031412360161995516,0.23108333333333334,0.0012168395758031297,1.7525459623239608,0.01643016092283213
3,0.43,8000,120000,0.42341932409736,0.0031686695109006797,0.24098333333333333,0.00123460643657837,1.7570481669438827,0.015935019021525106
3,0.44,8000,120000,0.43390607143989235,0.003166577674232044,0.2562583333333333,0.001260257909882456,1.6932369214915641,0.0149009104095601
3,0.45,8000,120000,0.446349785177656,0.0031710892294358763,0.26759166666666667,0.0012779748517257757,1.6680257301647012,0.01427916477538219
3,0.46,8000,120000,0.45756033156826936,0.003144137022624723,0.28025,0.0012965015024416027,1.6326862857030129,0.013524701625021646
3,0.47,8000,120000,0.46946739816210403,0.0031543806778357515,0.2924083333333333,0.0013130933577198396,1.6055199002380371,0.012975086739458635
3,0.48,8000,120000,0.47559627194587906,0.0031555032845962624,0.30085,0.0013239438479406896,1.580841854564996,0.012586024333575934
3,0.49,8000,120000,0.4855219011844291,0.003152139533934488,0.31816666666666665,0.0013445465124249417,1.5259986417530513,0.011821119377904405
3,0.5,8000,120000,0.4918913168249147,0.0031605287168650622,0.32698333333333335,0.0013542071267459899,1.5043314648807218,0.011499638342178828
